 TRAIN LES STLD STMD AMBASLAT AMLAT ENTORH PERIRH CA1 CA3 DG CINGULAR PRELIMB SOMSENS SUBICULUM ACCCORE ACCSHELL VISUAL PIRIFORM PARIETAL RETROSPLEN D1 D2 D3 D4 D5 
 "D3 " "H " 1979.9347765 800.06222489 613.67105942 1504.2344271 107.30788764 234.34060429 NA NA NA 1093.6215325 580.7255673 868.60229946 459.81712374 561.13736304 228.09360091 1114.422317 620.7615209 131.94908212 98.332574257 40.15375 32.54 27.8325 NA NA 
 "D3 " "H " 1674.5372674 1132.4763682 427.14157287 728.31109535 249.29914011 432.60953815 NA NA NA 1179.9426336 1671.4619909 827.89595776 684.19270706 272.87447047 262.40223714 1689.9358251 775.92761082 999.49025007 223.12835464 25.105 14.68375 9.5475 NA NA 
 "D3 " "H " 2608.4473499 1642.4100188 697.09527476 1488.1784614 512.72635106 525.84643018 NA NA NA 1141.3206519 1432.4988526 1365.9370772 355.9058231 913.40674236 492.37820754 2308.5930468 1361.3625244 1371.9893507 294.86115246 28.19 35.025 22.10375 NA NA 
 "D3 " "H " 2475.1834069 2148.1133177 550.03209726 1384.3926975 376.10235007 574.60870883 NA NA NA 1098.8716782 965.4514885 875.95941077 603.59917566 954.74941068 938.71986907 2258.0596246 1104.2273575 1799.5245568 491.72858292 37.22125 27.92 24.4675 NA NA 
 "D3 " "H " 1345.3036855 1235.309931 526.15829865 1269.9197793 366.16357013 638.51838364 NA NA NA 1279.7911573 793.0819586 867.79808267 140.75467378 335.99606952 251.16690659 1837.7650123 1313.0553787 1227.868364 242.42247595 30.50125 30.12375 16.3475 NA NA 
 "D3 " "SH " 1626.1525397 935.84010542 737.79538084 980.69473242 494.66351524 496.88995815 1415.1856191 243.9561788 180.74902733 1336.6044413 1470.4061291 701.21691876 518.09580901 1055.6125186 818.64180451 973.22981966 1455.3917751 1313.5287908 853.69771422 24.10125 15.2225 10.98625 NA NA 
 "D3 " "SH " 1663.3876302 974.77901405 625.30281136 882.48322501 436.86370168 858.24223263 1656.9073894 200.29695311 152.28290905 1076.5801353 727.77573392 729.25828626 369.83677049 655.04192108 332.23015403 1747.3206333 1203.692582 1240.298138 718.07637904 33.15 22.35375 17.0425 NA NA 
 "D3 " "SH " 891.51091569 299.46028982 333.65486224 649.72695734 223.72038084 159.93247716 70.21876419 4.2661124406 87.919022293 914.70087471 1010.9571027 685.58079054 265.23604972 788.64303473 432.53809457 1561.6277266 682.18994715 1418.592445 814.96526175 21.65875 12.325 15.87375 NA NA 
 "D3 " "SH " 948.40051974 128.13055548 263.13040213 1007.365822 274.82359961 238.39515317 372.21411692 17.678919304 10.689113603 732.41024136 1729.0604395 696.26239846 21.42566193 220.16504893 212.58605483 1632.5533677 555.5769987 821.90181686 456.06799831 34.51875 17.4975 16.1075 NA NA 
 "D3 " "SH " 508.16882598 431.34005362 358.7202417 688.16882677 170.15070152 186.71007438 1321.0519537 229.94597719 119.65765617 1523.14233 257.04642352 1158.7196711 138.8927984 166.5759097 205.41805722 1513.8983866 900.566224 907.17081207 891.52738264 26.60625 18.59125 19.7075 NA NA 
 "D3 " "SH " 370.46684016 443.37642453 324.14964796 486.59254366 292.43171091 393.30657137 1318.2659188 140.79655111 124.47172062 826.64616214 1063.8606737 969.74623477 285.07100263 174.21331293 137.90439873 2147.8360949 272.61356932 394.90355975 576.11592643 38.23375 25.22375 16.17875 NA NA 
 "D3 " "SH " 1108.4922573 1360.4524738 836.19266642 1600.3403438 433.93319669 708.14216684 1104.0429011 281.11928445 127.81177118 1191.4208691 766.80236253 1100.8677286 732.47287303 1035.2953392 517.22113635 1673.9369254 1242.9914321 1269.6966444 737.96010317 33.56625 21.19 9.54375 NA NA 
 "D3 " "SH " 396.16665886 1397.0040076 388.60391597 538.44647853 370.81140205 378.5004267 1500.2757108 385.0907223 404.70400843 1046.1510251 1040.1642252 953.75367457 405.51498663 251.73650539 368.00971786 2127.6739807 673.49088706 676.56018342 976.95283036 37.42125 18.94875 9.0075 NA NA 
 "D3 " "SH " 880.54929328 1271.7009329 581.85276463 1095.8304395 593.76456101 627.43684556 1200.4445256 578.15734343 325.71509319 1351.828888 117.28742495 912.29138694 691.71380267 455.31649589 140.89682395 1338.5969405 1359.8377304 525.38781018 1098.6391521 26.10375 20.9325 18.65375 NA NA 
 "D3 " "SH " 1417.2134803 1298.3413344 859.97088429 1501.3049342 189.03618019 189.08018145 1398.369096 564.15116025 343.08008812 1153.4496473 739.77344087 1579.4155786 998.72937344 711.52276699 481.46140953 1100.8310123 1150.6364658 1134.3568101 1182.9094662 28.99375 20.74125 19.895 NA NA 
 "D3 " "SH " 383.26329663 785.74461811 539.46648606 1055.5191953 159.88276143 254.04632407 1141.8075891 250.83025691 159.75250154 866.18779898 1152.7273795 693.03712993 343.84813615 144.96199121 290.0949573 2014.6520224 345.79623247 542.18605294 695.5210492 29.47 21.155 22.76375 NA NA 
 "D3 " "SH " 1361.56923 1339.4888184 686.54902426 1422.8368821 556.68627444 999.04939569 1869.6401596 510.60313544 280.56048067 1709.6158679 617.12882187 1331.2484449 1168.3214436 633.67848669 91.23609541 1106.7198272 1159.8775947 1347.579596 1321.5874935 27.3025 13.93875 7.75 NA NA 
 "D3 " "SH " 346.1914575 840.45129906 582.10463068 1034.7604095 141.97461867 307.30293665 652.48845148 213.46019584 168.94745676 881.66960997 1639.706623 747.99675654 222.62067654 362.1313707 180.03175798 1688.3043964 784.03146129 869.30524763 897.77812453 25.36 15.82125 11.955 NA NA 
 "D3 " "SH " 1075.1482259 1308.8871975 856.55527079 1046.8525145 307.82781284 503.79355801 1565.6900936 236.31975034 185.68272984 841.07653236 861.85708888 728.74639935 394.62944652 902.70431155 901.83436689 1826.866169 1031.482186 1584.0192058 1113.055345 20.47375 12.16375 19.685 NA NA 
 "D3 " "SH " 260.01123525 679.54067581 600.34327164 1139.0164295 266.21390407 420.47616505 460.52385748 219.77813269 94.234232389 764.45147649 801.9404991 838.41349093 386.85162777 383.66610613 765.41229645 1557.0153943 660.33365879 1547.5808239 870.83651233 24.52625 13.64125 13.21125 NA NA 
 "D3 " "SH " 1093.7872577 1265.1649265 732.93042683 1351.7834073 376.76782138 982.05680449 1623.7659194 290.83958673 599.56511961 729.13700383 795.34396491 1588.153663 847.58389458 894.02528363 1132.268215 1262.0692423 1406.4114497 1277.6701152 989.63494131 19.71875 26.70875 18.10625 NA NA 
 "D3 " "SH " 208.62825786 1239.4769679 525.32195849 939.08506866 200.57721042 573.59214142 453.59534074 205.89809132 232.25835072 740.87835053 638.10529883 840.27247745 419.76392867 330.70650437 289.62637952 1481.4533362 568.11174993 1009.9985743 772.24390717 29.32 20.49625 16.07875 NA NA 
 "D3 " "SH " 733.9499109 1701.5004258 565.38114215 1117.2360824 410.31356656 709.68072041 1271.1870042 310.15068826 250.20322757 858.72017909 551.07239242 1168.6593893 829.91501438 754.46266732 888.9332832 995.50343032 801.75721923 1074.2213086 1068.8488178 29.16125 14.39 10.30125 NA NA 
 "D3 " "SH " 439.78745913 1560.9403265 587.41011325 932.84677082 274.7239455 247.54010966 1111.2433226 146.1694997 380.98558076 765.21908953 1444.8897467 959.06234343 442.22832852 420.65487653 632.76787843 1473.8602155 707.78751805 835.4763451 788.04153045 18.605 15.97625 20.5575 NA NA 
 "D3 " "SH " 353.72887737 1463.2965791 558.74723106 1505.7654484 214.41602314 317.83187036 813.51652585 541.44237163 523.05003299 1050.4451758 679.86908245 975.64349838 491.5853658 606.47722528 1160.3095143 1276.5890827 880.09578506 1342.8649155 839.78593773 15.5875 17.78625 17.895 NA NA 
 "D3 " "SH " 220.45764065 641.65051134 340.22634967 834.73349818 361.54961303 405.42856291 467.74155161 268.62789419 333.43086986 828.51842053 1131.2161455 657.40362225 332.41317304 263.97940941 711.34451169 1569.5077692 557.87743496 1568.5863095 614.09116204 26.545 14.145 20.66125 NA NA 
 "D3 " "SH " 1760.9146189 1262.1462013 872.04858888 1642.9459855 350.42781517 479.06419299 1230.0908611 452.71095775 454.29463449 1580.3992299 905.94298369 1757.5623836 796.7302105 1821.3205331 1351.126877 1535.6844738 1386.737172 1909.1968801 882.4790915 23.45875 20.70875 7.99625 NA NA 
 "D3 " "SH " 636.86053258 1334.9829841 592.85413711 1388.5665638 231.10915864 290.75015813 726.78045892 593.44354587 287.75467267 1226.4268675 885.61756798 1505.1684991 644.74898393 1336.5930104 505.29001637 1783.7036033 1346.251413 1647.3231594 811.69714219 20.00875 13.06375 11.06125 NA NA 
 "D3 " "SH " 483.56561264 797.28423686 473.02748616 1103.8236543 160.62848673 424.44478672 836.41024811 416.63832658 329.66400706 764.00194852 1272.508313 1154.773161 390.42027711 845.21775131 588.85323094 2886.802709 634.32897128 1015.9406335 893.17660169 23.63125 34.6425 28.94125 NA NA 
 "D5 " "SH " 1813.8388346 1547.3892255 456.10121762 1252.1829496 950.26504005 1320.2009463 2195.787255 1144.2226689 417.7549206 1661.8589755 953.07488393 1865.8377338 657.21609755 1566.0835192 1175.6515042 2903.7704976 1866.7762837 2793.7330601 1272.0796288 27.6325 16.185 21.63625 10.21375 14.46875
 "D5 " "SH " 1773.6807766 1366.7777126 753.58454568 1677.5057767 535.36040623 639.13304709 1399.6061243 1015.294055 522.96942489 1548.2171946 1375.8973358 1216.2265767 760.01135028 1289.464906 836.91010432 2385.4412448 1525.6830695 2247.4916278 964.75994465 50.45625 23.19625 17.84 11.855 14.6175
 "D5 " "SH " 1864.7841562 1948.1798103 831.9439292 1438.5605557 843.05108251 1179.2812351 1743.2089508 1111.8615637 573.25526707 2001.3952159 1116.3762144 735.46566042 1021.0263719 1425.7505493 736.60812242 3064.4035838 1510.4866425 2288.5169234 1396.537554 26.8175 15.08125 16.41 11.01875 5.7325
 "D5 " "SH " 1458.5698669 2254.3774962 752.04417739 1692.0424218 784.93910533 1142.6741696 1491.6185167 752.50317797 317.13121314 2016.0758642 1415.5287892 1267.4683257 1345.210736 1462.9356794 574.5134582 2701.9023554 1321.0698362 2575.6412458 1781.0728421 27.94125 25.865 15.97625 17.85375 13.2225
 "D5 " "SH " 1943.3974304 1079.1843555 863.02795739 1566.874292 716.73771897 985.17927118 1687.0435373 733.19733883 342.40082427 1150.257175 1100.6086135 1479.1936946 850.31582754 878.44194305 330.54771619 2916.8374888 736.15661661 1580.3294016 831.80879116 48.7 23.755 18.56875 19.97875 10.05625
 "D5 " "SH " 2311.4413267 2045.3673051 744.74699732 1777.8396182 951.56071309 1227.2127326 2011.6920592 715.01510566 439.93620199 1370.6390985 869.63490577 1531.7168886 1140.8269204 2140.9432204 1718.7313929 2187.1625108 1246.4646531 2045.3338964 1537.5965919 43.875 22.80625 9.58875 12.04125 5.74875
 "D5 " "SH " 941.33681596 1747.5611202 424.75302672 1747.6631771 365.00612986 1230.1495159 894.26805069 245.97193872 167.39391334 990.43181685 1921.2339257 1727.0268242 593.05281155 1536.9514059 1599.3979419 3633.5383535 698.19871851 1057.3797292 524.35818789 20.985 22.7125 20.65 16.73375 11.56625
 "D5 " "SH " 1288.3343633 1578.6136409 474.14074434 1478.8173106 658.92842363 1440.0467546 1767.4868162 644.40864833 378.89746987 1039.6582699 1061.2734897 1625.8054329 424.54208449 494.97805926 280.37887693 2217.8620402 617.94858324 1248.0703809 1038.9526781 40.89625 23.61625 15.5725 15.49125 10.15375
 "D5 " "SH " 2267.0380366 1497.0050497 528.20234699 1716.125564 463.7971134 963.33593355 1983.9453945 623.08889028 316.45107851 663.83858856 1133.1023315 395.58747966 808.1220415 1013.1565797 422.02480661 2764.257881 824.34027184 1400.3126219 1580.0857658 35.585 35.76875 18.10125 17.94375 13.1075
 "D5 " "SH " 2099.5205283 1665.2592695 715.60486527 1998.824968 867.80306391 1591.4357247 1532.4933995 981.68652461 409.54387025 524.44943975 240.3779047 1260.0026653 782.02482861 1259.120922 1444.4653215 2831.6341655 1262.3892348 1757.6799687 1325.8714997 28.51125 23.98875 18.1175 7.5775 8.36
 "D5 " "SH " 1249.2045692 1192.3471345 566.07273567 1278.9000154 30.109245224 268.23882035 1932.4834533 822.58861233 312.15052045 910.5620877 1153.9840482 1067.749564 781.04962993 711.34906335 903.04890661 2632.2657857 593.02379296 1963.5250038 1070.2533412 39.63125 30.2 12.4925 11.16375 13.60625
 "D5 " "SH " 1979.8900873 821.45058416 602.07012604 1411.8769234 378.41401783 870.40640633 2003.4493351 1142.7968243 131.10420014 1649.1673521 1606.8695374 868.81002359 875.28996785 316.61853774 246.73342258 135.99697284 759.38122882 924.42727517 1312.4448544 30.7125 23.07375 16.5925 13.015 12.8675
 "D5 " "SH " 133.59504512 463.99632627 74.448021546 356.13330055 27.2939151 226.27389808 1030.870351 417.24845907 134.93104678 139.26156976 1420.5470629 116.24833661 260.50185204 362.49083463 80.802882798 1568.8115929 190.24935574 87.724212121 368.52216579 30.5125 29.3025 18.375 11.1525 7.7
 "D5 " "SH " 773.18477524 1422.4592774 96.023696743 585.13048656 225.01124821 568.13352613 1620.3005411 516.81621371 238.2517146 548.61457851 263.5041482 602.14722388 506.63651648 621.17701575 393.80187762 599.24589196 509.56976334 321.39462637 296.61008392 30.45875 14.345 12.5175 11.47625 7.77
 "D5 " "SH " 31.207382828 120.32348204 304.95157385 946.86324707 179.10884714 404.82744779 1192.2696492 83.819397069 112.85861289 156.77801793 821.83772272 340.45649192 156.64235814 65.939485187 24.801920188 2205.7933056 162.6236003 487.57350294 222.17994115 21.7675 20.94 19.5925 9.4875 7.9125
 "D5 " "SH " 571.2735681 1372.544506 580.28262722 1365.7266586 534.01839605 882.73262826 2271.3863943 551.46585727 180.62428135 1009.9287906 83.171615517 543.8899545 194.94465591 697.6660332 478.23116249 1284.5396783 833.34175278 1268.9180544 501.65930164 23.555 20.57625 16.185 8.29625 6.33625
 "D5 " "SH " 368.56611745 881.81470897 544.39685287 1253.6747079 376.02249239 374.62340262 2172.6204587 919.87371578 204.57055464 918.98789308 822.6883793 453.422549 236.41346907 185.53277878 135.43867639 1492.1365042 616.66287179 1181.7509434 524.01888281 32.63625 30.4875 21.31125 7.295 4.39375
 "D5 " "SH " 1990.6642047 1559.8981565 790.80917915 2149.4548991 552.41526843 559.17062703 1547.8993041 1034.7954622 351.40359849 1893.9317945 482.74650626 1497.6543859 753.93485151 1026.1751126 809.05582258 1497.7254323 1497.7254323 1347.3921156 1418.0520368 27.5425 20.1625 21.02125 13.195 8.6875
